date,cases
2020-11-17,35812932
2020-11-18,36176079
2020-11-19,36549166
2020-11-20,36904541
2020-11-21,37243760
2020-11-22,37516157
2020-11-23,37926204
2020-11-24,38297736
2020-11-25,38734713
2020-11-26,39099936
2020-11-27,39476656
2020-11-28,39831860
2020-11-29,40157958
2020-11-30,40559345
2020-12-01,41034926
2020-12-02,41496310
2020-12-03,41932083
2020-12-04,42352013
2020-12-05,42789871
2020-12-06,43103819
2020-12-07,43515451
2020-12-08,43956174
2020-12-09,44382129
