date,cases
2020-11-18,34837471
2020-11-19,35199231
2020-11-20,35543625
2020-11-21,35871006
2020-11-22,36134619
2020-11-23,36537606
2020-11-24,36900824
2020-11-25,37325023
2020-11-26,37678189
2020-11-27,38044168
2020-11-28,38388751
2020-11-29,38705107
2020-11-30,39099575
2020-12-01,39566469
2020-12-02,40015005
2020-12-03,40438342
2020-12-04,40845754
2020-12-05,41271202
2020-12-06,41574952
2020-12-07,41979396
2020-12-08,42411642
2020-12-09,42825295
