date,cases
2020-11-14,54068774
2020-11-15,54542427
2020-11-16,55071490
2020-11-17,55679709
2020-11-18,56303781
2020-11-19,56954548
2020-11-20,57620406
2020-11-21,58206741
2020-11-22,58691014
2020-11-23,59212713
2020-11-24,59801016
2020-11-25,60434061
2020-11-26,61015375
2020-11-27,61687693
2020-11-28,62286394
2020-11-29,62773072
2020-11-30,63278982
2020-12-01,63883941
2020-12-02,64530525
2020-12-03,65221064
2020-12-04,65899408
2020-12-05,66540007
2020-12-06,67073702
2020-12-07,67591311
2020-12-08,68225723
2020-12-09,68894596
